OID_,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,0,34212.000000000000000,0.000342120000000,0.000000000000000,42.374568939208984,42.374568939208984,0.206373969699911,2.929103243644501,7060.466251373342857,0.000000000000000,0.000000000000000
2,1,28261.000000000000000,0.000282610000000,0.000000000000000,43.245059967041016,43.245059967041016,3.559511927155258,11.579916129927174,100595.366573334729765,0.000000000000000,0.000000000000000
3,2,11123.000000000000000,0.000111230000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,3,6013.000000000000000,0.000060130000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,4,28010.000000000000000,0.000280100000000,0.000000000000000,73.506217956542969,73.506217956542969,34.933455694457898,32.115877890733621,978486.094001765712164,58.521507263183594,68.185997009277344
6,5,5773.000000000000000,0.000057730000000,0.000000000000000,86.614135742187500,86.614135742187500,1.480744005550487,11.210046683975508,8548.335144042963293,0.000000000000000,0.000000000000000
7,6,15312.000000000000000,0.000153120000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,7,41351.000000000000000,0.000413510000000,0.000000000000000,81.364570617675781,81.364570617675781,39.839200009434812,36.920241115254726,1647390.759590138914064,69.854606628417969,76.386383056640625
9,8,6262.000000000000000,0.000062620000000,0.000000000000000,38.980293273925781,38.980293273925781,1.383842740566043,7.074535465445853,8665.623241424558728,0.000000000000000,0.000000000000000
10,9,16077.000000000000000,0.000160770000000,0.000000000000000,64.705924987792969,64.705924987792969,10.860229325144676,22.440639031648644,174599.906860350951320,0.000000000000000,56.266780853271484
11,10,12717.000000000000000,0.000127170000000,0.000000000000000,90.646080017089844,90.646080017089844,42.203558759006157,42.071160241390466,536702.656738281250000,75.091949462890625,89.016015624999994
12,11,21847.000000000000000,0.000218470000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,12,10032.000000000000000,0.000100320000000,0.000000000000000,43.874256134033203,43.874256134033203,0.920433454726493,6.220045078085136,9233.788417816178480,0.000000000000000,0.000000000000000
14,13,16744.000000000000000,0.000167440000000,0.000000000000000,41.090629577636719,41.090629577636719,21.654473718934028,16.957280136355678,362582.507949831371661,32.674400329589844,37.813791656494139
15,14,12464.000000000000000,0.000124640000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
16,15,46155.000000000000000,0.000461550000000,0.000000000000000,88.164955139160156,88.164955139160156,25.841492907061625,36.787685237723082,1192714.105125429341570,0.000000000000000,82.277407836914051
17,16,13332.000000000000000,0.000133320000000,0.000000000000000,46.070915222167969,46.070915222167969,6.071542128978705,14.427006210029830,80945.799663544094074,0.000000000000000,39.112893676757807
18,17,34001.000000000000000,0.000340010000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
